Key,Value,Frequency
Kana,ほうきょうじ(にんぎょうのてら),12
Kana,ほんぽうじ,12
Kana,ろざんじ,12
Kana,しゅっせいなりじんじゃ,22
Kana,けあげいんくらいん,22
Kana,おかざきさくらかいろうじっこくぶねめぐり,22
Kana,きょうと くまのじんじゃ,22
Kana,くろだに こんかいこうみょうじ,22
Kana,しょうごいん,22
Kana,しんしょうごくらくじ(しんにょどう),22
Kana,すがじんじゃ,22
Kana,ひがしてんのう おかざきじんじゃ,22
Kana,へいあんじんぐう,22
Kana,たかせがわ,35
Kana,せいがんじ,35
Kana,せいしんいん,35
Kana,そめどのじぞういん,35
Kana,たこやくしどう(えいふくじ),35
Kana,にしきてんまんぐう,35
Kana,ほんのうじ,35
Kana,やたでら(やたじぞうそん),35
Kana,いちきゅうにいはちびる,35
Kana,きやまちどおり,35
Kana,とよくにじんじゃ,31
Kana,ようげんいん,31
Kana,ほうこくびょう,31
Kana,きょうとこくりつはくぶつかん,31
Kana,らくとういほうかん,31
Kana,かわいかんじろうきねんかん,31
Kana,まいこへんしんすたじお え まーさ,31
Kana,きょうりょうり はりせ,31
Kana,はんべえふ,31
Kana,どうらく,31
Kana,あわしまどう そうとくじ,18
Kana,どうそじんじゃ,18
Kana,にゃくいちじんじゃ,18
Kana,きょうとたわー,18
Kana,うめこうじこうえん,18
Kana,きょうとすいぞくかん,18
Kana,きょうとてつどうはくぶつかん,18
Kana,すみやもてなしのぶんかびじゅつかん,18
Kana,びじゅつかん えき きょうと,18
Kana,きょうとげきじょう,18
Kana,かんちいん,2
Kana,とうじ(きょうおうごこくじ),2
Kana,ろくそんのうじんじゃ,2
Kana,らじょうもんあと,2
Kana,かしときっさ うたうぷりん,2
Kana,いおんもーる きょうと,2
Kana,きょう とうじ うねの,2
Kana,とうじもち,2
Kana,だいそー いおんもーるきょうとてん,2
Kana,ひのでゆ,2
Kana,じょうしょうこうじ,14
Kana,きょうとしけいほくうつきょうこうえん,14
Kana,きょうとしけいほくしんりんこうえん,14
Kana,みちのえき うっでぃーけいほく かんさいこういきれんごういきないちょくばいじょ,14
Kana,けいしゅんいん,14
Kana,だいしんいん,14
Kana,たいぞういん,14
Kana,とうりんいん(さらそうじゅのてら),14
Kana,にんなじ,14
Kana,ほうこんごういん,14
Kana,ちょうけんじ,5
Kana,かしょうじ,5
Kana,げんせいあんずいこうじ,5
Kana,ごこうのみやじんじゃ,5
Kana,だいこくじ,5
Kana,はくりゅうぜにあらいべんざいてん(ずいこうじ),5
Kana,ふじのもりじんじゃ,5
Kana,ふしみいなりたいしゃ,5
Kana,ぼくせんじ,5
Kana,めいじてんのうふしみのももやまのみささぎ,5
Kana,しょうぐんづかせいりゅうでん,2
Kana,いわやでら,2
Kana,かじゅうじ,2
Kana,ずいしんいん,2
Kana,びしゃもんどう,2
Kana,ひむかいだいじんぐう,2
Kana,やましなじぞうとくりんあん,2
Kana,てんぢてんのうりょう,2
Kana,やましなそすいのみち,2
Kana,ひがしやまどらいぶうぇい,2
Kana,けごんじ(すずむしでら),4
Kana,じぞういん,4
Kana,つきよみじんじゃ,4
Kana,ほうりんじ,4
Kana,ほうりんじでんでんぐう,4
Kana,まつのおたいしゃ(まつおさん),4
Kana,あらしやまもんきーぱーくいわたやま,4
Kana,あらしやまはいぶりっどびじゅつかん,4
Kana,くいしんぼーやまなか,4
Kana,かまくらぱすた きょうとかつらてん,4
Homen,"{'Code': '04', 'Name': '近畿'}",1540
Ken,"{'Code': '26', 'Name': '京都府'}",1540
SubArea,"{'Code': '2603', 'Name': '下鴨・上賀茂・大原・鞍馬'}",146
SubArea,"{'Code': '2601', 'Name': '京都駅・四条河原町・京都御所'}",1002
SubArea,"{'Code': '2602', 'Name': '清水・祇園・銀閣寺'}",200
SubArea,"{'Code': '2604', 'Name': '金閣寺・嵐山・高雄'}",124
SubArea,"{'Code': '2605', 'Name': '伏見・醍醐'}",68
Mesh,"{'Code': '260302', 'Name': '下鴨・紫野・上賀茂・宝ケ池'}",90
Mesh,"{'Code': '260105', 'Name': '京都御所周辺'}",120
Mesh,"{'Code': '260104', 'Name': '二条城周辺'}",22
Mesh,"{'Code': '260202', 'Name': '祇園・円山公園・知恩院'}",24
Mesh,"{'Code': '260203', 'Name': '岡崎・吉田(京都府)'}",176
Mesh,"{'Code': '260102', 'Name': '烏丸・四条河原町'}",350
Mesh,"{'Code': '260101', 'Name': '京都駅周辺'}",510
Mesh,"{'Code': '260306', 'Name': '花脊・美山'}",56
Mesh,"{'Code': '260401', 'Name': '金閣寺・仁和寺'}",84
Mesh,"{'Code': '260502', 'Name': '伏見・桃山'}",50
Mesh,"{'Code': '260503', 'Name': '山科・醍醐'}",18
Mesh,"{'Code': '260403', 'Name': '嵐山・嵯峨野'}",40
Chiku,"{'Code': '2610017', 'Name': '下鴨・紫野・上賀茂・宝ケ池'}",90
Chiku,"{'Code': '2610010', 'Name': '京都御所'}",120
Chiku,"{'Code': '2610008', 'Name': '二条城周辺'}",22
Chiku,"{'Code': '2610013', 'Name': '祇園・円山公園・知恩院'}",24
Chiku,"{'Code': '2610014', 'Name': '岡崎・吉田(京都府)'}",176
Chiku,"{'Code': '2610006', 'Name': '四条河原町・先斗町・木屋町'}",350
Chiku,"{'Code': '2610032', 'Name': '三十三間堂'}",310
Chiku,"{'Code': '2610003', 'Name': '京都駅・東寺'}",198
Chiku,"{'Code': '2610005', 'Name': '西本願寺'}",2
Chiku,"{'Code': '2610030', 'Name': '花脊・美山'}",56
Chiku,"{'Code': '2610021', 'Name': '金閣寺・仁和寺'}",84
Chiku,"{'Code': '2610028', 'Name': '伏見・桃山'}",50
Chiku,"{'Code': '2610029', 'Name': '山科・醍醐'}",18
Chiku,"{'Code': '2610023', 'Name': '嵐山・嵯峨野'}",40
JIS,"{'Code': '26101', 'Name': '京都市北区'}",90
JIS,"{'Code': '26102', 'Name': '京都市上京区'}",120
JIS,"{'Code': '26103', 'Name': '京都市左京区'}",220
JIS,"{'Code': '26104', 'Name': '京都市中京区'}",350
JIS,"{'Code': '26105', 'Name': '京都市東山区'}",310
JIS,"{'Code': '26106', 'Name': '京都市下京区'}",180
JIS,"{'Code': '26107', 'Name': '京都市南区'}",20
JIS,"{'Code': '26108', 'Name': '京都市右京区'}",140
JIS,"{'Code': '26109', 'Name': '京都市伏見区'}",50
JIS,"{'Code': '26110', 'Name': '京都市山科区'}",20
JIS,"{'Code': '26111', 'Name': '京都市西京区'}",40
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '104', 'Name': '山・丘陵'}}]",9
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '121', 'Name': '動物生息地・植物群生地'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '122', 'Name': '花見スポット'}}]",9
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}]",755
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}, {'LGenre': {'Code': '3', 'Name': '食べる'}, 'MGenre': {'Code': '30', 'Name': '和食'}, 'Genre': {'Code': '300', 'Name': '和食・日本料理'}}]",9
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '122', 'Name': '花見スポット'}}]",40
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '122', 'Name': '花見スポット'}}]",44
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '123', 'Name': '紅葉スポット'}}]",24
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '13', 'Name': '動植物園・公園'}, 'Genre': {'Code': '142', 'Name': '庭園・植物園・ハーブ園'}}]",50
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '103', 'Name': '川・滝・湧水・渓谷'}}]",35
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '12', 'Name': '建物・史跡'}, 'Genre': {'Code': '132', 'Name': '歴史的建造物'}}]",37
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '12', 'Name': '建物・史跡'}, 'Genre': {'Code': '136', 'Name': '繁華街・町並み・散歩道'}}]",37
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '14', 'Name': '美術館・博物館'}, 'Genre': {'Code': '151', 'Name': '博物館・科学館・資料館'}}]",31
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '12', 'Name': '建物・史跡'}, 'Genre': {'Code': '134', 'Name': '遺跡・史跡・城址'}}]",38
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '14', 'Name': '美術館・博物館'}, 'Genre': {'Code': '151', 'Name': '博物館・科学館・資料館'}}]",80
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '14', 'Name': '美術館・博物館'}, 'Genre': {'Code': '154', 'Name': '記念館'}}]",31
GenreList,"[{'LGenre': {'Code': '2', 'Name': '遊ぶ'}, 'MGenre': {'Code': '22', 'Name': '体験施設'}, 'Genre': {'Code': '209', 'Name': 'その他体験施設'}}]",31
GenreList,"[{'LGenre': {'Code': '3', 'Name': '食べる'}, 'MGenre': {'Code': '30', 'Name': '和食'}, 'Genre': {'Code': '300', 'Name': '和食・日本料理'}}]",62
GenreList,"[{'LGenre': {'Code': '3', 'Name': '食べる'}, 'MGenre': {'Code': '30', 'Name': '和食'}, 'Genre': {'Code': '305', 'Name': '郷土料理'}}]",31
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '12', 'Name': '建物・史跡'}, 'Genre': {'Code': '135', 'Name': 'タワー・展望施設'}}, {'LGenre': {'Code': '7', 'Name': '温泉他'}, 'MGenre': {'Code': '72', 'Name': '入浴施設'}, 'Genre': {'Code': '702', 'Name': '温浴施設'}}]",18
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '13', 'Name': '動植物園・公園'}, 'Genre': {'Code': '141', 'Name': '公園'}}]",32
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '13', 'Name': '動植物園・公園'}, 'Genre': {'Code': '145', 'Name': '水族館'}}]",18
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '14', 'Name': '美術館・博物館'}, 'Genre': {'Code': '152', 'Name': '美術館・ギャラリー'}}]",40
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '19', 'Name': 'その他'}, 'Genre': {'Code': '163', 'Name': '劇場・映画館・演芸場'}}]",18
GenreList,"[{'LGenre': {'Code': '4', 'Name': '喫茶・甘味'}, 'MGenre': {'Code': '40', 'Name': '喫茶・甘味'}, 'Genre': {'Code': '400', 'Name': 'カフェ・喫茶・カフェレストラン'}}]",2
GenreList,"[{'LGenre': {'Code': '6', 'Name': '買う'}, 'MGenre': {'Code': '60', 'Name': 'ショッピングビル'}, 'Genre': {'Code': '600', 'Name': 'デパート・ショッピングビル'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '19', 'Name': 'その他'}, 'Genre': {'Code': '163', 'Name': '劇場・映画館・演芸場'}}]",2
GenreList,"[{'LGenre': {'Code': '6', 'Name': '買う'}, 'MGenre': {'Code': '63', 'Name': '食料品・お酒'}, 'Genre': {'Code': '640', 'Name': '食料品・地酒'}}]",2
GenreList,"[{'LGenre': {'Code': '6', 'Name': '買う'}, 'MGenre': {'Code': '63', 'Name': '食料品・お酒'}, 'Genre': {'Code': '650', 'Name': '和洋菓子・スイーツ'}}]",2
GenreList,"[{'LGenre': {'Code': '6', 'Name': '買う'}, 'MGenre': {'Code': '62', 'Name': '民芸品ほか'}, 'Genre': {'Code': '699', 'Name': 'その他ショップ'}}]",2
GenreList,"[{'LGenre': {'Code': '7', 'Name': '温泉他'}, 'MGenre': {'Code': '72', 'Name': '入浴施設'}, 'Genre': {'Code': '702', 'Name': '温浴施設'}}]",2
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '13', 'Name': '動植物園・公園'}, 'Genre': {'Code': '141', 'Name': '公園'}}, {'LGenre': {'Code': '2', 'Name': '遊ぶ'}, 'MGenre': {'Code': '21', 'Name': 'アウトドア・スポーツ'}, 'Genre': {'Code': '259', 'Name': 'その他アウトドア・スポーツ'}}]",14
GenreList,"[{'LGenre': {'Code': '6', 'Name': '買う'}, 'MGenre': {'Code': '63', 'Name': '食料品・お酒'}, 'Genre': {'Code': '660', 'Name': '農産物'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '19', 'Name': 'その他'}, 'Genre': {'Code': '178', 'Name': '道の駅'}}]",14
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '10', 'Name': '自然'}, 'Genre': {'Code': '122', 'Name': '花見スポット'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}]",5
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '12', 'Name': '建物・史跡'}, 'Genre': {'Code': '134', 'Name': '遺跡・史跡・城址'}}, {'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '11', 'Name': '社寺・教会'}, 'Genre': {'Code': '131', 'Name': '社寺・教会'}}]",2
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '19', 'Name': 'その他'}, 'Genre': {'Code': '171', 'Name': '観光道路'}}]",2
GenreList,"[{'LGenre': {'Code': '1', 'Name': '見る'}, 'MGenre': {'Code': '13', 'Name': '動植物園・公園'}, 'Genre': {'Code': '144', 'Name': '動物園'}}]",4
GenreList,"[{'LGenre': {'Code': '3', 'Name': '食べる'}, 'MGenre': {'Code': '32', 'Name': '洋食'}, 'Genre': {'Code': '311', 'Name': '洋食・レストラン'}}]",4
GenreList,"[{'LGenre': {'Code': '3', 'Name': '食べる'}, 'MGenre': {'Code': '37', 'Name': '外国料理'}, 'Genre': {'Code': '322', 'Name': 'イタリア料理'}}]",4
Address,京都府京都市北区紫野北船岡町,9
Address,京都府京都市北区上賀茂本山340,18
Address,京都府京都市北区紫野今宮町21,9
Address,京都府京都市北区上賀茂本山339,9
Address,京都府京都市北区烏丸通鞍馬口東入ル,9
Address,京都府京都市北区紫野北舟岡町49,9
Address,京都府京都市北区鷹峯北鷹峯町47,9
Address,京都府京都市北区鷹峯北鷹峯町1,9
Address,京都府京都市北区西賀茂北鎮守菴町72,9
Address,京都府京都市上京区烏丸通下長者町下ル桜鶴円町385,12
Address,京都府京都市上京区上御霊前通烏丸東入上御霊竪町495,12
Address,京都府京都市上京区今出川通烏丸東入ル相国寺門前町701,24
Address,京都府京都市上京区今出川通り堀川東入 飛鳥井町261,12
Address,京都府京都市上京区堀川通上御霊前上ル扇町722-10,12
Address,京都府京都市上京区寺町通広小路上ル染殿町,12
Address,京都府京都市上京区寺ノ内通堀川東入ル百々町547,12
Address,京都府京都市上京区小川通寺ノ内上ル本法寺前町617,12
Address,京都府京都市上京区寺町通広小路上ル,12
Address,京都府京都市左京区大原来迎院町148,22
Address,京都府京都市左京区南禅寺福地町他,22
Address,京都府京都市左京区南禅寺草川町,22
Address,京都府京都市左京区聖護院山王町43,22
Address,京都府京都市左京区黒谷町121,22
Address,京都府京都市左京区聖護院中町15,22
Address,京都府京都市左京区浄土寺真如町82,22
Address,京都府京都市左京区聖護院円頓美町1,22
Address,京都府京都市左京区岡崎東天王町51,22
Address,京都府京都市左京区岡崎西天王町,22
Address,京都府京都市中京区一之船入町,35
Address,京都府京都市中京区新京極通三条下る桜之町453,35
Address,京都府京都市中京区新京極通六角下ル中筋町487,35
Address,京都府京都市中京区新京極通四条上ル中之町562,35
Address,京都府京都市中京区新京極蛸薬師東側町503,35
Address,京都府京都市中京区新京極通四条上ル中之町537,35
Address,京都府京都市中京区寺町通御池下ル下本能寺前町522,35
Address,京都府京都市中京区寺町通三条上ル,35
Address,京都府京都市中京区三条御幸町東南角,35
Address,京都府京都市中京区～下京区,35
Address,京都府京都市東山区大和大路通正面茶屋町530,31
Address,京都府京都市東山区三十三間堂廻町656,31
Address,京都府京都市東山区今熊野北日吉町,31
Address,京都府京都市東山区茶屋町527,31
Address,京都府京都市東山区問屋町通五条下ル西橘町472,31
Address,京都府京都市東山区五条坂鐘鋳町569,31
Address,京都府京都市東山区日吉町228-3,31
Address,京都府京都市東山区大黒町通五条下ル袋町,31
Address,京都府京都市東山区問屋町通五条下ル上人町433,31
Address,京都府京都市東山区正面通本町西入ル304,31
Address,京都府京都市下京区岩上通塩小路上ル三軒替地町124,18
Address,京都府京都市下京区油小路塩小路下る,18
Address,京都府京都市下京区七条御所ノ内本町98,18
Address,京都府京都市下京区烏丸通七条下る東塩小路町721-1,18
Address,京都府京都市下京区観喜寺町56-3,18
Address,京都府京都市下京区観喜寺町35-1,18
Address,京都府京都市下京区観喜寺町,18
Address,京都府京都市下京区西新屋敷揚屋町32,18
Address,京都府京都市下京区烏丸通塩小路下ル東塩小路町京都駅ビル内ジェイアール京都伊勢丹7F,18
Address,京都府京都市下京区烏丸通塩小路下ル京都駅ビル内,18
Address,京都府京都市南区八条大宮西入ル九条町403,2
Address,京都府京都市南区九条町1,2
Address,京都府京都市南区壬生通八条角,2
Address,京都府京都市南区唐橋羅城門町,2
Address,京都府京都市南区東寺東門前町91,2
Address,京都府京都市南区西九条鳥居口町1,2
Address,京都府京都市南区唐橋門脇町4,2
Address,京都府京都市南区東寺東門前町88,2
Address,京都府京都市南区西九条鳥居口町1イオンモールKYOTO Kaede館4F,2
Address,京都府京都市南区西九条唐橋町２26-6,2
Address,京都府京都市右京区京北井戸町丸山14-6,14
Address,京都府京都市右京区京北下宇津町向ヒ山1,14
Address,京都府京都市右京区京北塔町愛宕谷25-3,14
Address,京都府京都市右京区京北周山町上寺田1-1,14
Address,京都府京都市右京区花園寺ノ中町11,14
Address,京都府京都市右京区花園妙心寺町57,14
Address,京都府京都市右京区花園妙心寺町35,14
Address,京都府京都市右京区花園妙心寺町59,14
Address,京都府京都市右京区御室大内33,14
Address,京都府京都市右京区花園扇野町49,14
Address,京都府京都市伏見区東柳町511,5
Address,京都府京都市伏見区深草坊町71,5
Address,京都府京都市伏見区深草坊町4,10
Address,京都府京都市伏見区御香宮門前町174,5
Address,京都府京都市伏見区鷹匠町4,5
Address,京都府京都市伏見区深草鳥居崎町609,5
Address,京都府京都市伏見区深草薮之内町68,5
Address,京都府京都市伏見区墨染町741,5
Address,京都府京都市伏見区桃山町古城山,5
Address,京都府京都市山科区厨子奥花鳥町28,2
Address,京都府京都市山科区西野山桜ノ馬場町96,2
Address,京都府京都市山科区勧修寺仁王堂町27-6,2
Address,京都府京都市山科区小野御霊町35,2
Address,京都府京都市山科区安朱稲荷山町18,2
Address,京都府京都市山科区日ノ岡一切経谷町29,2
Address,京都府京都市山科区四ノ宮泉水町16,2
Address,京都府京都市山科区御陵上御廟野町,2
Address,京都府京都市山科区御陵,2
Address,京都府京都市山科区山科区～東山区,2
Address,京都府京都市西京区松室地家町31,4
Address,京都府京都市西京区山田北ノ町23,4
Address,京都府京都市西京区松室山添町15,4
Address,京都府京都市西京区嵐山虚空蔵山町16,4
Address,京都府京都市西京区嵐山虚空蔵山町法輪寺内,4
Address,京都府京都市西京区嵐山宮町3,4
Address,京都府京都市西京区嵐山中尾下町61,4
Address,京都府京都市西京区嵐山東一川町3-1,4
Address,京都府京都市西京区御陵溝浦町26-26,4
Address,京都府京都市西京区上桂東ノ口町103,4
LatitudeW10,35.039746888,9
LatitudeW10,35.059655772,9
LatitudeW10,35.045971172,9
LatitudeW10,35.059816866,9
LatitudeW10,35.060411266,9
LatitudeW10,35.038438713,9
LatitudeW10,35.038680375,9
LatitudeW10,35.05481725,9
LatitudeW10,35.0554587,9
LatitudeW10,35.062358211,9
LatitudeW10,35.022212766,12
LatitudeW10,35.036508391,12
LatitudeW10,35.0330544,12
LatitudeW10,35.03019522,12
LatitudeW10,35.036280711,12
LatitudeW10,35.033222658,12
LatitudeW10,35.0250366,12
LatitudeW10,35.034055933,12
LatitudeW10,35.035051,12
LatitudeW10,35.0245948,12
LatitudeW10,35.1168514,22
LatitudeW10,35.008894569,22
